id,title,price_raw,price_uah,negotiable,area_m2,district,city,listing_date,url
920843329,"Оренда квартира 65 м2 у ЖК TRIIINITY по вул. Тютюнника 39/2, Печерськ, метро Палац Україна",101 183.13 грн.,101183.13,False,65 м²,Печерський,Київ,25 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-kvartira-65-m2-u-zhk-triiinity-po-vul-tyutyunnika-39-2-pechersk-metro-palats-ukrana-ID10jLpL.html?search_reason=search%7Cpromoted
921529925,3-х кімнатна квартира ЖК Варшавський,34 000 грн.,34000.0,False,70 м²,Подільський,Київ,25 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/3-h-kmnatna-kvartira-zhk-varshavskiy-ID10mE1T.html?search_reason=search%7Cpromoted
921626601,Оренда квартири ЖК Wood Park вул. Радистів 24.,15 500 грн.,15500.0,False,35.30 м²,Дніпровський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-kvartiri-zhk-wood-park-vul-radistv-24-ID10n3bb.html?search_reason=search%7Corganic
921472528,"однокімнатна, євроремонт, вулиця Смілянська 1",12 000 грн.,12000.0,False,33 м²,Солом'янський,Київ,24 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/odnokmnatna-vroremont-vulitsya-smlyanska-1-ID10mp68.html?search_reason=search%7Corganic
884912900,Русанівка.Оренда від  1 го - до 12 місяців. Для 1-2 осіб. Від власника,15 000 грн.,15000.0,False,36 м²,Дніпровський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/rusanvka-orenda-vd-1-go-do-12-msyatsv-dlya-1-2-osb-vd-vlasnika-IDXT0gI.html?search_reason=search%7Corganic
918935777,"Шикарная 2х комнатная квартира на Позняках  ул. Пчелки 6а. Инвертор на лифт, вода, отопление.",29 000 грн.,29000.0,False,81 м²,Дарницький,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/shikarnaya-2h-komnatnaya-kvartira-na-poznyakah-ul-pchelki-6a-invertor-na-lift-voda-otoplenie-ID10bLaN.html?search_reason=search%7Corganic
908540985,Оренда 4 кімнатної квартири 180м/2 центр метро Палац «Україна» власник,43 992.67 грн.,43992.67,False,180 м²,Печерський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-4-kmnatno-kvartiri-180m-2-tsentr-metro-palats-ukrana-vlasnik-IDZu90R.html?search_reason=search%7Corganic
921482405,Здається квартира на Оболоні,12 000 грн.,12000.0,False,40 м²,Оболонський,Київ,24 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/zdatsya-kvartira-na-obolon-ID10mrFr.html?search_reason=search%7Corganic
921671056,Оренда 1к квартири на вул. Юрія Кондратюка,13 000 грн.,13000.0,False,42 м²,Оболонський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-1k-kvartiri-na-vul-yurya-kondratyuka-ID10neKc.html?search_reason=search%7Corganic
921670556,"Оренда 1к квартири на вул. Шолуденка, ЖК Повітрофлотський квартал",15 000 грн.Договірна,15000.0,True,48 м²,Шевченківський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-1k-kvartiri-na-vul-sholudenka-zhk-povtroflotskiy-kvartal-ID10neC8.html?search_reason=search%7Corganic
917128272,Оренда 3к 105м2 Новопечерські Липки Драгомирова Верхогляда 17б Центр,127 578.73 грн.,127578.73,False,105 м²,Печерський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-3k-105m2-novopechersk-lipki-dragomirova-verhoglyada-17b-tsentr-ID104aXu.html?search_reason=search%7Corganic
851678798,"Своя. Метро ""Печерская""- Ул.Алмазова 14,3-х комн.Раздельные Газ,теплая",37 393.77 грн.Договірна,37393.77,True,89 м²,Печерський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/svoya-metro-pecherskaya-ul-almazova-14-3-h-komn-razdelnye-gaz-teplaya-IDWDyyO.html?search_reason=search%7Corganic
814662075,"Оренда трикімнатної квартири по пр. В. Івасюка, 22 від власника",38 000 грн.,38000.0,False,128 м²,Оболонський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-trikmnatno-kvartiri-po-pr-v-vasyuka-22-vd-vlasnika-IDT8eOT.html?search_reason=search%7Cpromoted
917247154,Здам 3-кім кв. Воскресенський проспект 10 А. Завжди  тепло та світло!,26 500 грн.Договірна,26500.0,True,95 м²,Дніпровський,Київ,25 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/zdam-3-km-kv-voskresenskiy-prospekt-10-a-zavzhdi-teplo-ta-svtlo-ID104FSV.html?search_reason=search%7Cpromoted
903650004,"Червоної калини 4в, Троєщина",10 500 грн.Договірна,10500.0,True,74 м²,Деснянський,Київ,25 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/chervono-kalini-4v-troschina-IDZ9CE4.html?search_reason=search%7Cpromoted
921618337,"Здам 2-кімнатну квартиру, від власника Вітряні Гори (Подільський район)",16 000 грн.,16000.0,False,47 м²,Подільський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/zdam-2-kmnatnu-kvartiru-vd-vlasnika-vtryan-gori-podlskiy-rayon-ID10n11T.html?search_reason=search%7Corganic
902820517,Без комиссии Первая аренда 4к квартира в ЖК на Драгоманова 31А,118 340.27 грн.Договірна,118340.27,True,135 м²,Дарницький,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/bez-komissii-pervaya-arenda-4k-kvartira-v-zhk-na-dragomanova-31a-IDZ68Rf.html?search_reason=search%7Corganic
914081224,"Без %! Оренда 3х кімн-ї квартири ЖК ""Сонячна Рів'єра"" 80м2!Генератор!",48 391.93 грн.,48391.93,False,80 м²,Дарницький,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/bez-orenda-3h-kmn-kvartiri-zhk-sonyachna-rvra-80m2-generator-IDZRohy.html?search_reason=search%7Corganic
882180813,"Власник!  2-К (73кв.м.), ЖК ""Міністерський"" , м. Мінська",23 900 грн.,23900.0,False,73 м²,Оболонський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/vlasnik-2-k-73kv-m-zhk-mnsterskiy-m-mnska-IDXHxvN.html?search_reason=search%7Corganic
890263350,"Оболонь, 1к 30 мкв Долгосрочная аренда для порядочных людей",15 000 грн.Договірна,15000.0,True,30 м²,Шевченківський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/obolon-1k-30-mkv-dolgosrochnaya-arenda-dlya-poryadochnyh-lyudey-IDYfsai.html?search_reason=search%7Corganic
921594767,Оренда 1-кімнатної квартири в ЖК Варшавський,20 000 грн.,20000.0,False,42 м²,Подільський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-1-kmnatno-kvartiri-v-zhk-varshavskiy-ID10mUTJ.html?search_reason=search%7Corganic
907118137,Здається 3х кімнатна квартира в ЖК Новопечерські Липки,109 981.67 грн.,109981.67,False,130 м²,Печерський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/zdatsya-3h-kmnatna-kvartira-v-zhk-novopechersk-lipki-IDZoaRH.html?search_reason=search%7Corganic
918307974,Оренда 1к квартири 45м2 ЖК Тайм Соломʼянський рн Генератор Перша здача,35 194.13 грн.,35194.13,False,45 м²,Солом'янський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-1k-kvartiri-45m2-zhk-taym-solomyanskiy-rn-generator-persha-zdacha-ID1097QV.html?search_reason=search%7Corganic
879380598,"Без% Park Avenue VIP 61,7 м2 Демеевская 33 Парк Авеню",74 787.53 грн.,74787.53,False,61.70 м²,Печерський,Київ,24 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/bez-park-avenue-vip-61-7-m2-demeevskaya-33-park-avenyu-IDXwN42.html?search_reason=search%7Cpromoted
918215480,Здається квартира,10 000 грн.Договірна,10000.0,True,40 м²,Дніпровський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/zdatsya-kvartira-ID108JN6.html?search_reason=search%7Corganic
907840836,Фото реал 3к роздільні 14/16пов. вул.Ужвій Мостицький масив Виноградар,16 990 грн.,16990.0,False,71.60 м²,Подільський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/foto-real-3k-rozdln-14-16pov-vul-uzhvy-mostitskiy-masiv-vinogradar-IDZrcS8.html?search_reason=search%7Corganic
903654543,5к Центр Шота Руставелі біля м.Палац Спорту Без коміссіі Власник,55 000 грн.,55000.0,False,100 м²,Печерський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/5k-tsentr-shota-rustavel-blya-m-palats-sportu-bez-komss-vlasnik-IDZ9DPh.html?search_reason=search%7Corganic
686368386,"Аренда 4-ком., 158м2., в ЖК Панорама Е.Коновальца 44а, м.Печерская",61 589.73 грн.,61589.73,False,158 м²,Печерський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/arenda-4-kom-158m2-v-zhk-panorama-e-konovaltsa-44a-m-pecherskaya-IDKrWLQ.html?search_reason=search%7Corganic
903656334,2к вул Ділова Метро Олімпійська Центр оплата Помісячно без коміссії,35 000 грн.,35000.0,False,60 м²,Печерський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/2k-vul-dlova-metro-olmpyska-tsentr-oplata-pomsyachno-bez-komss-IDZ9Eia.html?search_reason=search%7Corganic
921599647,"Оренда 2к квартири в ЖК ""Варшавський 3"", вул. Всеволода Змієнка",23 000 грн.Договірна,23000.0,True,49 м²,Подільський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-2k-kvartiri-v-zhk-varshavskiy-3-vul-vsevoloda-zmnka-ID10mVar.html?search_reason=search%7Corganic
921544710,Оренда 2-к квартири на вул. Віталія Скакуна,14 000 грн.,14000.0,False,47 м²,Солом'янський,Київ,25 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-2-k-kvartiri-na-vul-vtalya-skakuna-ID10mHSm.html?search_reason=search%7Corganic
921569422,Оренда 2-к квартири на вул. Лятошинського,14 000 грн.,14000.0,False,53 м²,Голосіївський,Київ,25 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-2-k-kvartiri-na-vul-lyatoshinskogo-ID10mOiV.html?search_reason=search%7Corganic
886999358,без комісії здам 3 кім  вул Чурюмова (Яснополянська) 19 м Житомирська,25 000 грн.,25000.0,False,65 м²,Святошинський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/bez-koms-zdam-3-km-vul-churyumova-yasnopolyanska-19-m-zhitomirska-IDY1L3g.html?search_reason=search%7Corganic
873536089,"Оренда 3к квартири, вул. Гоголівська 14, КБ Nobel Homes, 114 м. кв",118 780.20 грн.Договірна,118780.2,True,114 м²,Шевченківський,Київ,25 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-3k-kvartiri-vul-gogolvska-14-kb-nobel-homes-114-m-kv-IDX7gDL.html?search_reason=search%7Cpromoted
921543944,Оренда 2-к квартири на вул. Ольжича,13 000 грн.,13000.0,False,50 м²,Шевченківський,Київ,25 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-2-k-kvartiri-na-vul-olzhicha-ID10mHG0.html?search_reason=search%7Corganic
921605143,Оренда 2-к квартири на вул. Перемишльська,15 000 грн.,15000.0,False,60 м²,Подільський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-2-k-kvartiri-na-vul-peremishlska-ID10mXB5.html?search_reason=search%7Corganic
921570944,"Оренда 1к квартири на вул. Гарматна, ЖК ""Козацький""",15 500 грн.Договірна,15500.0,True,43 м²,Солом'янський,Київ,25 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-1k-kvartiri-na-vul-garmatna-zhk-kozatskiy-ID10mOHu.html?search_reason=search%7Corganic
921594258,"Оренда 1к, вул. Василя Касіяна 6, метро Іпподром, Голосіївський район",12 500 грн.,12500.0,False,30 м²,Голосіївський,Київ,26 квітня 2026 р.,https://www.olx.ua/d/uk/obyavlenie/orenda-1k-vul-vasilya-kasyana-6-metro-ppodrom-golosvskiy-rayon-ID10mULv.html?search_reason=search%7Corganic
